id,name,lat,lon,city,zip,county,state,data_source,detail,contact,additional_location_info,image_link,exists,address,validation_date,lat_lon,type_fridge,location_type,overhead_protection,outdoors_or_indoors,size,number_shelves,tight_fitting_door,contents,photo,additional_info,validated,width,length,height
99,The Community Wellness Project LFP at Irondale Church,48.042642,-122.774896,Port Hadlock,98339,Jefferson,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pantry@jccwp.org,,http://mapping.littlefreepantry.org/media/pantry_images/0e6f4424a2944e7fb4b42ad25b482a8f/tjgCL55TkW3AjToL3OS0w.jpg,NA,681 Irondale Road,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
100,Little Free Pantry at the Harbormaster’s House,47.539736,-122.635921,Port Orchard,99366,Kitsap,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,ferrycommuter@yahoo.com,located on DeKalb Street,http://mapping.littlefreepantry.org/media/pantry_images/52929a8e9c1d41c7a246960f2e34d82b/7FDD54E4-B15A-4E7E-A8B1-8E6DED2AF8F4.jpeg http://mapping.littlefreepantry.org/media/pantry_images/52929a8e9c1d41c7a246960f2e34d82b/E3952836-E7DC-47E3-BB7D-38E5963A365F.jpeg,NA,319 Sidney Avenue,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
101,St Paul's Episcopal Church Little Free Pantry,48.115588,-122.759108,Port Townsend,98368,Jefferson,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,morkabu@olympus.net,located on the garden shed in the parking lot,,NA,1020 Jefferson Street,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
102,Dove house,48.10705,-122.789321,Port Townsend,98365,Jefferson,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,beulahk@dovehousejc.org,,http://mapping.littlefreepantry.org/media/pantry_images/c22e8cf4513f497091d2aec7a9bcb0f7/A9E63E66-5F0F-46C6-B891-8AD86D098F62.jpeg http://mapping.littlefreepantry.org/media/pantry_images/c22e8cf4513f497091d2aec7a9bcb0f7/76DBCE97-A76C-42DA-AC5D-F220EB9F687E.jpeg,NA,1045 10th street,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
103,Always Open,48.114243,-122.771028,Port Townsend,98368,Jefferson,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,randy@Fooddude.org,,https://doc-00-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/lt7l0q4oo4gt1teotu8sj9hmto/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vazIrTzrzUHg9bZA5vtt9D9PUQZ_vVyH1_zlJS6yoNT2sFieWT-OJqZGF1wZ82PJ8JkHxZekvAod2jYHdKolIozdqB6wPD5L_e2y5-WRVPCYFkzV-ZCycf0FzBzKZOzod0xKOwNXUK_F2KoM0MSRnrbJObOnqzOQlL7Aae6oD9b_0tYOizHrF9N0gSxBoY_-B8?session=0&fife=s16383 http://mapping.littlefreepantry.org/media/pantry_images/59500a4f48aa42e48323d277966e9d39/IMG_20210217_120239328.jpg,NA,1925 Blaine St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
104,The Little Schoolhouse Pantry,48.117081,-122.781452,Port Townsend,98368,Jefferson,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,info@swanschool.org,,,NA,2345 Kuhn Street,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
105,Little Free Pantry at Trinity,46.738786,-117.163079,Pullman,99163,Whitman,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pastorwes@trinitypullman.org,Located near McGee park on College Hill,http://mapping.littlefreepantry.org/media/pantry_images/018d1ca5709147efb638c829c5baa799/Pantry.jpg http://mapping.littlefreepantry.org/media/pantry_images/018d1ca5709147efb638c829c5baa799/Pantry2.jpg,NA,1300 NE Lybecker Pullman,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
106,Pioneer Hill Pantry,46.726469,-117.174651,Pullman,99163,Whitman,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,madecourcey@yahoo.com,,http://mapping.littlefreepantry.org/media/pantry_images/5492f55afefc4edeac028eb4f02b0532/File_001.jpeg http://mapping.littlefreepantry.org/media/pantry_images/5492f55afefc4edeac028eb4f02b0532/File_000.jpeg,NA,425 SE Dilke St Pullman,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
107,Little Food Pantry of Community Congregational United Church of Christ,46.733501,-117.172462,Pullman,99163,Whitman,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,fungustim@gmail.com,"In the front of the church, a small door to the right of the main door, plus food left on the porch",http://mapping.littlefreepantry.org/media/pantry_images/37b6b605d91c4f7eb1d69f0e82919c39/Little_Food_Cupboard.jpg,NA,525 NE Campus Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
108,Little Free Pantry on Main,46.730756,-117.192222,Pullman,99163,Whitman,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,emcraigie@outlook.com,Located in the parking lot of the main fire station,http://mapping.littlefreepantry.org/media/pantry_images/12511c6989954b1f8519b92ecfd54d26/FB_IMG_1508781618385.jpg,NA,912 W. Main Street Pullman,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
109,Friends of the neighborhood,47.143334,-122.250992,Puyallup,98374,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,james.elder1@comcast.net,,http://mapping.littlefreepantry.org/media/pantry_images/e218ca15b0e04bf588e0a0c84f8340e2/C8057D3C-FBA5-47CA-BAAA-3C070F8064E7.jpeg http://mapping.littlefreepantry.org/media/pantry_images/e218ca15b0e04bf588e0a0c84f8340e2/6D1E7117-A7F7-48A7-A446-243C3FC0332E.jpeg,NA,12413 133rd Ave E Puyallup,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
110,Bowman Hilton Pantry,47.182836,-122.217645,Puyallup,98372,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,sue@buildingbeyondthewalls.org,,http://mapping.littlefreepantry.org/media/pantry_images/37dbb66252ab456f86b53709cb421a17/Bowman_Hilton_Pantry_pic.jpg,NA,15910 Bowman Hilton St E Puyallup,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
111,Cub Scout Pack 552,47.167223,-122.25438,Puyallup,98374,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,stephberg23@yahoo.com,,http://mapping.littlefreepantry.org/media/pantry_images/be910a12cef643a6815c1e272ec54d8c/6025EFE4-A021-4D07-8BEC-9170BC17DBA8.jpeg http://mapping.littlefreepantry.org/media/pantry_images/be910a12cef643a6815c1e272ec54d8c/C07B3E36-7119-4B1F-9E95-7255ED70DC75.jpeg,NA,2500 Shaw Rd E Puyallup,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
112,Community,47.156091,-122.258411,Puyallup,98374,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,celinamck@hotmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/3704b916c88e4d14a217e4f8aedd897d/F94E6669-18A4-4121-9317-3C8EA06C8DDE.jpeg,NA,3704 27th St. SE Puyallup,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
113,The Little Free Pantry,47.671357,-122.062297,Redmond,98053,King,Washington,The Little Free Pantry network,Shared Pantry,geoff@uhchurch.org,,,NA,20810 NE Union Hill Rd,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
114,The Enso Center Pantry,47.679688,-122.078962,Redmond,98053,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,alisonashbaugh3@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/db6c7b123c4742579ae81d614ee42e38/52CCEA17-CD8D-4A18-9D47-F64AAF253420.jpeg http://mapping.littlefreepantry.org/media/pantry_images/db6c7b123c4742579ae81d614ee42e38/AECE976C-D72A-4407-BC6C-502FF28D2345.jpeg,NA,8700 196th Ave NE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
115,The Little Free Pantry,47.470511,-122.121048,Renton,98059,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0c-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/4fq770egvbulst8nrj9r20sovg/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vbOsJC9n4kWzuNJ8A77jeKKMXG85fk2jjPVxGgs-PLrx95Va8svqJOwxjODprD3o9TQeEld7vYU_O2wIJqFrr-oZwwFhI36LSgHNeR3XDWCtDPUsl6_8oLnEMYR--aRsLrDPw-czac4QYHnbSY9xL-YcYtADKM6Y6st-jBgarwE0rXYH_z5YOWTQMVf6iTLkz0?session=0&fife=s16383,NA,14633 164th Pl SE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
116,Fairwood Community United Methodist,47.44757,-122.136415,Renton,98058,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,425-228-4577; fairwoodumc.org heather@smith.net,,https://doc-0k-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/b2fra2fk955v6o3ruh71m0f098/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vbHJy2MCwPz9EYJEmty7X5ADpMesTAnuUapibh9VWRc7RngK8UjpSGbO84-sKKonHB2IiR03sNdQR9APV6a6mfmv1YDw7Dp3lCpvYKoVBaU3PqkVen0V6t27v6capeaqLS8VSZuheuE5HHFmVXZY4fyEWB9BNtEUQyhL-XC13FfQ5Rbd2G97TrZT6hm8JPuHK8?session=0&fife=s16383,NA,15255 SE Fairwood Blvd,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
117,Valley Church,47.499647,-122.119544,Renton,98059,King,Washington,The Little Free Pantry network,Shared Pantry,425-226-0741; www.govalley.org,,https://doc-14-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/3lfulctokj04gb8ps7l29trvv4/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vY0ctRJAxSgigyuorXVTlLS7JvqBAhL3e4EuNFcJ98iAICGRoDnNgFFuBWMamz7AOFPKe1fn2PdEFhz4_iwDMKC1NeaPEinucCrPdl_LuQpfY9MFRgwnDjiGhUywTHK4IUeQlIjmdu-qAj9l82VWMqUqm3INIR6KSj4q_427TwHn7krid0feyllqFgombkVBob1?session=0&fife=s16383,NA,16431 Renton Issaquah Rd SE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
118,Lake Desire Community Clubhouse Rental,47.439684,-122.111877,Renton,98058,King,Washington,The Little Free Pantry network,Shared Pantry,206-468-6888; www.lakedesire.org,,https://doc-0c-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/nqs4h9l5nck6p80r258cebpldc/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vZVnRVGLf5KazoM8sKaytBAx8QcGBmpyGyzJ3mKpmKKTHIKD40ZyRbyX76Y0NsXkVri5m2TqaaVKE3c6OqZ4IG9FSjt1VgsrBJM48xmHfcJtUJZcvXWW1SMHb5t4Po91K__88V2SjEIPwz2SegVke_pJ-O5XJQocy1nt33GQR9w0R3psW09b5dxxaelnpEdJ_g?session=0&fife=s16383,NA,18118 172nd Ave SE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
119,The Little Free Pantry,47.455203,-122.083624,Renton,98058,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,19229 SE 164th St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
120,Samish Island Little Free Pantry,48.57296,-122.508848,Samish Island,98232,Skagit,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,julieojudy@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/2c9501f08f804e8dae0a192209556af7/IMG_3939.jpg http://mapping.littlefreepantry.org/media/pantry_images/2c9501f08f804e8dae0a192209556af7/IMG_3938.jpg,NA,Halloran Rd & Roney Rd,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
121,Matt Griffin YMCA,47.43377,-122.287603,SeaTac,98188,King,Washington,The Little Free Pantry network,Shared Pantry,206-244-5880; www.seattleymca.org,,,NA,3595 S 188th St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
122,Pickle Piper's Public Pantry,47.446244,-122.28695,SeaTac,98188,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,piperpg@ntdev.microsoft.com,,,NA,3444 south 175th street,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
123,Rat City Pantry,47.508296,-122.347649,Seattle,98146,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,cngoldsworthy@comcast.net,,https://doc-08-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/tv9eubnlf85dreteulqd6k7m9o/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vaJNQ2YTp4WdcHGPnBwMBNmiD1fRMjIXpcLCZvFqGJV3Q_v7RRK7akegHknbw89ssHnAuLOgZW1ZqZz_zQgQC2Sn2WltLpQDtiR5vQZRA-y2UcKP1Ylfrk3Fl5loWAFrt-DZfF-1R-Rwt4mZeCrX4dULmOhhowDOFEkELwNW4rKrMFUF-39M1caS2Rpj2XCa-j1?session=0&fife=s16383 http://mapping.littlefreepantry.org/media/pantry_images/fb53ec1d8b3a44deb1ddc7409ec54818/6CF94894-2A7C-4802-B641-B775774AC7B7.jpeg,NA,1005 SW 106th St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
124,The Little Free Pantry,47.511585,-122.349046,Seattle,98146,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-14-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/jbe8h03hkd6koeg5cfejmd1lbk/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vbXqculTIB9E4ECmWXhBKCGmmCzDzsW0hrghLI6PCKecB9i8mXImjq3Ve72BJTl8WHbgDMkdLDSVNAN7IvwYm370pSIKq61r2ZcCqu8acRdgJlDuWpTdJOyiC5GQOhF5FU9Zl2dSjQEo5S1bkUnwYnpl5BHeBHMzKnT4WFqTwy5T3doF3DeXHI__yHLxkbCHDoF?session=0&fife=s16383,"Yes, it still exists.",10215 11th Ave SW,2025/02/25 1:28:15 AM GMT+2,"(47.5114661, -122.3492885)",Non-refrigerated,Private residence (e.g. on someone frontyard),Yes,Outdoor with a cover,"14 H, 13 W, 13 L",1,Yes,"1 can tomatoes, 2 cans spaghetti sauce, 1 can soup, one box stuffing.",https://drive.google.com/u/1/open?usp=forms_web&id=1j731jYSXBDwjCePr4emzw5xNh6behU9K,,yes,13,13,14
125,The Little Free Pantry,47.509796,-122.357736,Seattle,98146,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-08-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/ibaunr819f4jsi961td6u7mq4s/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vZ1Y1zcEjmBRiRL25wXAhrLCR9YQqZ6llkMRdXdZgfz_WzA6eK3K-MZz5GL7JCos-Fpyswm5AxbT1WIav6jKhjhtlR8SoAfwb4NZsN68G4KtecvBcQXvdEQ2wOEtkMj0iURFcAjb5dRzGDssx_kvmjCGr3A3MTQyUHAKdhF8rj4y8hGzKoRmSpyyJaJ5FcCKfrz?session=0&fife=s16383,"No, it does not exist anymore, and there is no other micropantry in the same block",10410 18th Ave SW,2025/02/25 1:10:19 AM GMT+2,,,,,,,NA,,,,,yes,NA,NA,NA
126,The Little Free Pantry,47.505583,-122.258438,Seattle,98178,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-00-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/jfi6grikpkl1ariss41973s154/1657744728250/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vY_MA4IGdiyq3xszl9b9cmqN4Vs5wQRnNmZq0-C24eloGTCbUi4GvkNTRzbHQ_tW1xZxF0C55gvU8n5rC2dle_tptbWPLIHov7N18pTLxCQkAm1vr4no37MLtJV0z624jLfsJU3ogIMDfRE7_9C6Yc89NxCqjCI_C6QSmhvtiUOuXKh9pBU8-XUYHhr4dGxnH8?session=0&fife=s16383,NA,10615 60th Ave S,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
127,The Little Free Pantry,47.504517,-122.263062,Seattle,98178,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0k-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/vbrkcm3r9lj6g5plevo73oa4gg/1657744728250/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vbHRaZO0180OFwUTeI9K8iQwtO2UKdwwNEviffMfcaWL53UkWEiFIZXmhLgiPBy2lGT2cBL9aLv82WNutAAgI-nSJB94dxoraptus9bEpT3Kf5AH98JIkvE9yDslutikhfsRxpxtHI41TnWoycYPkMVabhsXBX8ncBUIplBXOaYqcQ5YxzgRpfGu0V0-l4VOD2V?session=0&fife=s16383,NA,10710 56th Ave S,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
128,Meadowbrook Little Free Pantry,47.708959,-122.29083,Seattle,98125,King,Washington,Little Free Pantry - Mini Pantry Movement,Pantry + Fridge,mlmcint@gmail.com,,,NA,11019 35th Ave NE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
129,Revolution,47.503142,-122.348383,Seattle,98146,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,elizabeth.ann.rockett@gmail.com,,https://doc-0s-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/qorsru7nf793c453jkf8heb9tg/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vZ40im3VzAZtdjiQ5qQPDwaSaDydvP6gfYmOfVKCT1oG3lpmG2T8XA8uZhFyBN1xWRwr1t_97Av74srZ2X6qEfkIp-g32n5z8LgiQ7J7hibqspbbYiFQjiA0KAt7tws4IrHNljXvl5sTjk8tzp5MO8NYgEVMdVzf9nTR-PsMfZ1jO6qrNc5Evz7dCiKeCLdwSY?session=0&fife=s16383,NA,11050 11th Ave SW,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
130,The Little Free Pantry,47.500788,-122.245843,Seattle,98178,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0k-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/t6rf4v9cljrlk10novp90afpak/1657744728250/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vapcKU72mRGkxmAjk1ztcJe9_rtR4OnPKcxVky0DNU2EIh4iwwlpueoWJmiKgltFMcjaCnjFjSLQtQcJ4yGOkDZDjkHXoi4TqCuMDise-VgZ0N17iDSvCEJWFc1uprTF421cv4akMz0SsXnuwgG1_qs3jzlgjuRRgvG8ZfUsrvT-J7hH_WYi_Ysm8qIzwFHkMM1?session=0&fife=s16383,NA,11439 71st Place South,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
131,Roseberg Community Pantry,47.496538,-122.307248,Seattle,98168,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,katiegustainis@outlook.com,,https://doc-0c-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/gf2era2d3pkbng1um45koe06as/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vYA2FwtXRZkaybEz9PGXy6PfGZexnTOAwrHrSJgSh4tGjvpMlpy4W_QOz6Htn7BHvLEelsq2C-lO_aXrwn0Tg-wosXr9jri7icJ2KM3vD-NacbeNBiE6xtLxx-8RRVm3rzprVYHRTac5Z6A7GYQwlwlqnW7ypOIbwbpQ39_KFXSD9deXDyrgPp6_S9J8n0ZfNo?session=0&fife=s16383,NA,11819 Roseberg Ave S,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
132,Lake City Little Free Pantry,47.716023,-122.292772,Seattle,98125,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,seattlecargirl@yahoo.com,,http://mapping.littlefreepantry.org/media/pantry_images/cb95f10261954c1abb180b36075cc968/61473114643__FE232144-403E-428A-886A-59E0D1752BA0.jpg http://mapping.littlefreepantry.org/media/pantry_images/cb95f10261954c1abb180b36075cc968/IMG_1478.jpg,NA,12018 33rd Ave NE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
133,Evanston Mini Pantry,47.716691,-122.351641,Seattle,98133,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,paulaburke@earthlink.net,,https://doc-0o-4o-mymaps.googleusercontent.com/untrusted/hostedimage/dkvs9rd9gvpef00k50u0q83mco/68k0gcb791bu2cq1em5tij2jb8/1657824112750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AFzc1valQ1sBctXaNJcr2I2iRvzsMgk4R3fHbAlWPaWjF4S-cbgMRRofLTRxezHak_B9Ar-LEnKrbtNRqCYzVKJ4kYNKZe2R-9tSuHlpXfmwlGtFt8kYmeHhFe0M6IkaPTRM68PkoovgRtn7jW4nvtUFu3aIwCntpqRhWA_qLpELDoiSAD9xPSEJuciripxoP124T7np?session=0&fife=s16383,"No, it does not exist anymore, and there is no other micropantry in the same block",12021 Evanston Ave N,2025/02/13 2:52:32 AM GMT+2,,,,,,,NA,,,,,yes,NA,NA,NA
134,The Little Free Pantry,47.491391,-122.30609,Seattle,98168,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-10-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/vuajt6mcl8u8s3smhoehq1qc30/1657668333750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vbDMA8ev2jO5z4B93qUcP8bPIZENHOQ6hJjOWbMlcXPWnO3GBxAhwd2EMR3rssPFMys7nLkAmb-JDc59lWXjrmnMGAlvc2UIb6C2viXomawUo0ciV8GMG-aZNYqjmxdWsMsmEws8m-TVmsu5N9jEjm7AJLtmIh5hYsI-3AUCKP9cAACIJBH5RCrtsR_C1pKi1Rp?session=0&fife=s16383,NA,12424 21st Ave S,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
135,Our Blessing Kiosk,47.724428,-122.328973,Seattle,98125,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,petersenkr@hotmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/9df8167e8cef47649813b51e2b7def3f/1_5.jpg http://mapping.littlefreepantry.org/media/pantry_images/9df8167e8cef47649813b51e2b7def3f/1_6.jpg,"Yes, it still exists.",13039 1st Ave NE,2025/03/08 8:41:49 PM GMT+2,"PMFC+QC Seattle, Washington",Non-refrigerated,Private residence (e.g. on someone frontyard),No,Outdoor without a cover,"26,28,16",2,Yes,"5 bags of bagels, jar of moisturizer, 4 books",https://drive.google.com/u/1/open?usp=forms_web&id=1DHkBSmXRXlrpyhoocBjPnTAOvd8ZxvFy,,yes,28,16,26
136,Luther Memorial Lutheran Church,47.724959,-122.355729,Seattle,98133,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,outreach@luthermemorialseattle.com,,,"Yes, it still exists.",13047 Greenwood Ave N,2025/03/08 9:38:56 PM GMT+2,84VVPJFV+VH,Non-refrigerated,Non-profit organization (e.g. by a church of food bank),Yes,Outdoor with a cover,10’x2’x1’,4,Yes,"Can of beans, tea bags, deodorant ",https://drive.google.com/u/1/open?usp=forms_web&id=1a5FnJOYu0IXJk9vEQdcJ6heEs6iCMe7K,This is a shed by front door of church. ,yes,2,1,10
137,The Little Free Pantry,47.581049,-122.314885,Seattle,98144,King,Washington,The Little Free Pantry network,Shared Pantry,revkaty206@gmail.com,,,NA,1322 S Bayview St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
138,The Little Free Pantry,47.57954,-122.314047,Seattle,98144,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,1410 S Lander St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
139,The Triangle's Little Free Shed,47.735472,-122.351723,Seattle,98133,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,https://www.facebook.com/LittleFreeShed ms.riggin@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/5db7e32150ee403cadce6a2709cd4b44/20190806_191605.jpg http://mapping.littlefreepantry.org/media/pantry_images/5db7e32150ee403cadce6a2709cd4b44/20190803_143222.jpg,NA,14544 Evanston Ave N,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
140,The Little Free Pantry,47.614633,-122.289227,Seattle,98122,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,,NA,1516 34th Ave,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
