"Timestamp","Add the micropantry ID you see on the map:","Does the micropantry you see on the map still exists?","What is the closest address to the micropantry?","If you have google Maps on your phone, add the geo-coordinate of the micropantry using the following instructions.","What type of micropantry is it?","Describe the location of the micropantry:","Is there overhead protection (eg. a roof)?","Is the micropantry:","Describe the (approximate) size of the micropantry storage space in inches","Number of shelves:","Is there a tight fitting door?","Briefly describe what’s inside:","Please add a photo","Any other observations?"
"2025/02/25 3:56:48 AM GMT+2","280","Yes, it still exists.","3724 107th street SW","(47.5075165, -122.3792315)","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor with a cover","18 H, 15 W, 14 L","1","Yes","2 cans of cat food. One package of plastic wrap.","https://drive.google.com/u/1/open?usp=forms_web&id=1NIu-Yf0jt7y0vO60gsaxkiGnc_7L0IUE",""
"2025/02/25 4:14:32 AM GMT+2","217","Yes, it still exists.","6917 Fauntleroy WY SW","(47.5417186, -122.3903614)","Non-refrigerated","Public property (e.g. park or sidewalk)","Yes","Outdoor with a cover","18 H, 15 W, 14 W","1","Yes","2 cans tomato sauce, 1 can black beans, - package of dried split peas. ","https://drive.google.com/u/1/open?usp=forms_web&id=1cSVq8AyEJDZp53VMafjgbKHxQxpqu5o3",""
"2025/02/26 11:26:08 PM GMT+2","142","Yes, it still exists.","1610 S King St.","(47.5986658, -122.3109579)","Non-refrigerated","Non-profit organization (e.g. by a church of food bank)","Yes","Outdoor with a cover","17 H, 15 W, 13 L","1","Yes","Empty ","https://drive.google.com/u/1/open?usp=forms_web&id=1Ffk54cfGHuKxzOwnmiQQ5ZP7t90Tw3MD",""
"2025/02/26 11:38:51 PM GMT+2","226","No, it does not exist anymore, and there is no other micropantry in the same block","","","","","","","","","","","",""
"2025/02/26 11:52:57 PM GMT+2","150","Yes, it still exists.","201 22nd AVE E","(47.6203701, -122.3039202)","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor with a cover","17 H, 15 W, 13 L","1","Yes","2 can soup","https://drive.google.com/u/1/open?usp=forms_web&id=1vrd2wJ2hL12RIs3H6pOdIceM3b9lICdh",""
"2025/02/27 12:05:16 AM GMT+2","152","Yes, it still exists.","217 28th Ave","(47.6040742, -122.2961450)","Non-refrigerated","Public property (e.g. park or sidewalk)","Yes","Outdoor with a cover","15 H, 17 W, 13 L","2","Yes","1 can baby formula, 4 packages gummy candy, one packet salad dressing mix, 2 packets instant soup, one packet instant oatmeal, mixed taffy candy.","https://drive.google.com/u/1/open?usp=forms_web&id=1ZOa7sh-PGywAgJq418ENp9WJzfvCjBlA",""
"2025/02/27 12:09:07 AM GMT+2","202","No, it does not exist anymore, and there is no other micropantry in the same block","","","","","","","","","","","",""
"2025/02/27 12:19:53 AM GMT+2","160","Yes, it still exists.","2820 E Cherry St","(47.6082256, -122.2953349)","Non-refrigerated","Non-profit organization (e.g. by a church of food bank)","Yes","Outdoor with a cover","60 H, 24 W, 15L","5","Yes","5 cans spaghetti sauce, 5 cans corn, 2 cans green  beans, 1 box crackers.","https://drive.google.com/u/1/open?usp=forms_web&id=1XAVd45nWO3FIK2_LOAnU9x1P3jvGoOJf","Very large pantry at YWCA."
"2025/02/27 12:45:28 AM GMT+2","158","No, it does not exist anymore, and there is no other micropantry in the same block","","","","","","","","","","","",""
"2025/02/27 12:58:51 AM GMT+2","157","Yes, it still exists.","2615 E Pine St","(47.6151248, -122.2980219)","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor with a cover","17 H, 15 W, 15 L","2","Yes","4 boxes spice rub, 3 cans peas, two tampons, bin of fresh potatoes and apples ( next to the pantry) ","https://drive.google.com/u/1/open?usp=forms_web&id=1Oc__w3nsa7_BDJCy6m5dWNFbnC0xRlJw",""
"2025/02/27 1:09:09 AM GMT+2","155","Yes, it still exists.","2557 E Madison St","JPC2+JM6 Seattle, Washington","Non-refrigerated","Public property (e.g. park or sidewalk)","Yes","Outdoor with a cover","18 H,  20 W, 15 L","1","Yes","2 can navy beans","https://drive.google.com/u/1/open?usp=forms_web&id=1akgG8mf4rfjo9Ac43QAafjxdIeHZyQZj","This is located in a cul-de-sac at 26th and Thomas St. "
"2025/02/27 1:37:55 AM GMT+2","255","Yes, it still exists.","727 Yestler Way","(47.5994877, -122.3202924)","Non-refrigerated","Public property (e.g. park or sidewalk)","Yes","Outdoor without a cover","30 H, 15 W,  10 L","3","No","Empty ","https://drive.google.com/u/1/open?usp=forms_web&id=1nSf-xQB-oKMvtghlY7GsuAh6kgNa1Uu7","Pantry has been vandalized and repaired several times. It’s in bad shape with no door. "
"2025/02/28 2:23:44 AM GMT+2","330","Yes, it still exists.","18350 NE Woodinville-Duval Pl Woodinville 98077","47.76102N x 122.09423W","Non-refrigerated","Non-profit organization (e.g. by a church of food bank)","Yes","One piece stainless steel roof but no other ""cover""","29""H x 48""W x 17""L","3","Yes","maccaroni, canned soup bisquick...fully stocked","https://drive.google.com/u/1/open?usp=forms_web&id=1zpZ7S_smtTcVoW3OchAhjCaNi3GHzO52","There is an overflow donations ""can"" (shown in foto) its full of donations too"
"2025/02/28 2:30:43 AM GMT+2","329","Yes, it still exists.","17518 199th Ave NE Woodinville 98077","47.75607N x 122.07202W","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor without a cover","33""H x 18""W x 13""L","2","Yes","canned soup canned green beans, flake potato maccaroni, well stocked","https://drive.google.com/u/1/open?usp=forms_web&id=10z-9icH8kfFxKZvGr9MTyGsVGW11B4GT","The door has a latch"
"2025/02/28 2:36:41 AM GMT+2","37","Yes, it still exists.","15825 3d Ave NE Duvall WA 98019","47.74274N x 121.98056W","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor without a cover","16""H x 20""W x 14""L","2","Yes","a few cans, rice, maccaroni","https://drive.google.com/u/1/open?usp=forms_web&id=1xOsGRyxGYPrK07fpGpUVxHLB95N1CByL","the door has a latch"
"2025/03/01 8:11:43 PM GMT+2","63","No, it does not exist anymore, and there is no other micropantry in the same block","","","","","","","","","","","",""
"2025/03/08 8:41:49 PM GMT+2","135","Yes, it still exists.","13039 1st Ave NE","PMFC+QC Seattle, Washington","Non-refrigerated","Private residence (e.g. on someone frontyard)","No","Outdoor without a cover","26,28,16","2","Yes","5 bags of bagels, jar of moisturizer, 4 books","https://drive.google.com/u/1/open?usp=forms_web&id=1DHkBSmXRXlrpyhoocBjPnTAOvd8ZxvFy",""
"2025/03/08 8:53:51 PM GMT+2","250","Yes, it still exists.","13517 Meridian Ave N","84VVPMG8+X5","Non-refrigerated","Private residence (e.g. on someone frontyard)","No","Outdoor without a cover","30,18,12","2","Yes","4 bags bagels, box of cake mix, 1 sleeve graham crackers, 1 disposable diaper ","https://drive.google.com/u/1/open?usp=forms_web&id=1S40jPxkVDe0-tKObFtA-2h7Qo-2okywk",""
"2025/03/08 9:11:55 PM GMT+2","00","Yes, it still exists.","14300 linden Ave n","PMJ3+PC Seattle, Washington","Non-refrigerated","Public property (e.g. park or sidewalk)","No","Outdoor with a cover","21,28,17","1","No","Bag of nuts, pack of ramen, bag of pasta, hamburger buns, bottle of orajel ","https://drive.google.com/u/1/open?usp=forms_web&id=18eYFpY6FgPfb2kyJ63WAHxmcu3TM8XV0","There are 3 pantry boxes. None of them have doors. "
"2025/03/08 9:24:41 PM GMT+2","149","Yes, it still exists.","14544Evanston Ave N","84VVPJPX+5C","Both fridge and non-refrigerated space","Private residence (e.g. on someone frontyard)","Yes","Outdoor with a cover","12 ‘ x 8’ x 8’","8","Yes","Produce, bread, lots of dry goods, clothing , etc","https://drive.google.com/u/1/open?usp=forms_web&id=14ATszAjfZMjT5tpeLpYDJSKuzFkuUX-P","This is a large shed with a lot of food, clothing and other household items. Plus a fridge. "
"2025/03/08 9:38:56 PM GMT+2","136","Yes, it still exists.","13047 Greenwood Ave n","84VVPJFV+VH","Non-refrigerated","Non-profit organization (e.g. by a church of food bank)","Yes","Outdoor with a cover","10’x2’x1’","4","Yes","Can of beans, tea bags, deodorant ","https://drive.google.com/u/1/open?usp=forms_web&id=1a5FnJOYu0IXJk9vEQdcJ6heEs6iCMe7K","This is a shed by front door of church. "
